district,Year,Rape,Kidnapping_Abduction,Dowry_Deaths,Assault_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_Girls,total_crime
Fatehgarh,2014,19,126,39,38,0,121,0,343
Fatehpur,2014,58,121,43,101,0,93,0,416
Firozabad,2014,61,245,55,131,0,146,0,638
Gautambudh Nagar,2014,54,150,35,161,7,198,0,605
Ghaziabad,2014,118,391,38,283,3,575,0,1408
Ghazipur,2014,24,102,31,69,0,67,0,293
Gonda,2014,37,126,28,56,0,12,0,259
Gorakhpur,2014,92,271,58,132,0,223,0,776
Hamirpur,2014,29,55,26,97,1,42,0,250
Hapur,2014,46,69,16,62,0,70,0,263
Hardoi,2014,39,162,40,93,0,140,0,474
Hathras,2014,60,127,24,121,1,103,0,436
Jalaun,2014,12,54,30,44,0,41,0,181
Jaunpur,2014,50,125,47,62,0,49,0,333
Jhansi,2014,28,84,33,85,0,119,0,349
Kannauj,2014,22,92,31,98,0,89,0,332
Kanpur Dehat,2014,20,151,35,95,0,144,0,445
Kanpur Nagar,2014,78,413,73,261,1,594,0,1420
Kasganj,2014,19,96,29,58,0,21,0,223
Kaushambi,2014,14,81,27,120,0,86,0,328
Khiri,2014,49,195,51,107,0,135,0,537
Kushi Nagar,2014,22,136,31,53,0,50,0,292
Lalitpur,2014,25,27,12,38,0,19,0,121
Lucknow,2014,68,370,52,392,0,1083,0,1965
Maharajganj,2014,32,100,26,29,0,68,0,255
Mahoba,2014,22,52,14,62,1,22,0,173
Mainpuri,2014,23,127,37,69,0,74,0,330
Mathura,2014,73,158,48,114,0,267,0,660
Mau,2014,25,84,16,51,1,81,0,258
Meerut,2014,93,293,53,412,0,520,0,1371
Mirzapur,2014,19,12,26,10,0,28,0,95
Moradabad,2014,89,166,36,189,1,403,0,884
Muzaffarnagar,2014,37,194,17,148,0,168,0,564
Pilibhit,2014,69,121,25,107,0,179,0,501
Pratapgarh,2014,68,172,21,165,0,184,0,610
Raibareilly,2014,48,111,27,69,0,38,0,293
Rampur,2014,34,94,18,54,0,121,0,321
Saharanpur,2014,73,220,28,167,0,194,0,682
Sambhal,2014,48,124,26,72,0,106,0,376
Sant Kabirnagar,2014,23,39,11,25,0,0,0,98
Shahjahanpur,2014,83,193,61,181,1,127,0,646
